GeneName_A	GeneName_B	SRA	adj_p-value	Control_SRA	Treatment	Tissue	Cell	Complex_A	Core_or_Variant_A	DBD_B	TF_assessment_B	Binding_mode_B
CBP	ARNT	SRR9063866	0.00079	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNT	SRR9063863	4.4e-05	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNT	SRR9063864	1.4e-11	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNTL	SRR9063865	1.4e-07	NONE	LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNTL	SRR9063863	9.9e-33	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNTL	SRR9063866	1.6e-07	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ARNTL	SRR9063864	1.7e-43	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ASCL2	SRR9063864	0.00026	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ASCL2	SRR9063866	0.0046	NONE	UT	peripheral blood	macrophages	CBP	NA	bHLH	Known motif	Monomer or homomultimer
CBP	ATF1	SRR9063866	1.2e-20	NONE	UT	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF1	SRR9063864	5.4e-99	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF1	SRR9063863	8.7e-119	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF1	SRR9063865	8.9e-60	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF3	SRR9063866	1.4e-11	NONE	UT	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF3	SRR9063863	2.6e-245	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF3	SRR9063865	1.3e-153	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF3	SRR9063864	7.4e-110	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF4	SRR9063864	1.2e-250	NONE	IFNg	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF4	SRR9063866	7.3e-16	NONE	UT	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF4	SRR9063863	2e-305	NONE	IFNg_LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
CBP	ATF4	SRR9063865	1.2e-146	NONE	LPS	peripheral blood	macrophages	CBP	NA	bZIP	Known motif	Monomer or homomultimer
