InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	ExpEvidences	Methods	Publications	X3DStructures	CurationEvents	COF_Synonyms_A	Complex_A	Core_or_Variant_A	DBD_B	TF_assessment_B	Binding_mode_B
374383	Q9Z148	EHMT2_MOUSE	Ehmt2	A2A935	PRD16_MOUSE	Prdm16	1	1	1	0	2	EHMT2;G9a	NA	NA	C2H2 ZF	Inferred motif	Monomer or homomultimer
374384	O88712	CTBP1_MOUSE	Ctbp1	A2A935	PRD16_MOUSE	Prdm16	1	1	1	0	2	Ctbp;Ctbp1	CoREST	NA	C2H2 ZF	Inferred motif	Monomer or homomultimer
374382	Q5DW34	EHMT1_MOUSE	Ehmt1	A2A935	PRD16_MOUSE	Prdm16	3	3	1	0	5	EHMT1;GLP	NA	NA	C2H2 ZF	Inferred motif	Monomer or homomultimer
549304	Q6PGF3	MED16_MOUSE	Med16	A2AQR4	A2AQR4_MOUSE	Zfp64	1	1	1	0	1	Med16;Trap95;Drip92;Thrap5	Mediator	CORE	C2H2 ZF	Known motif	Monomer or homomultimer
374188	Q80Z64	NANOG_MOUSE	Nanog	A2ATY4	A2ATY4_MOUSE	Zbtb34	2	2	1	0	2	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Inferred motif	Monomer or homomultimer
557452	Q80Z64	NANOG_MOUSE	Nanog	A2AWF2	A2AWF2_MOUSE	Rex2	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
557447	Q80Z64	NANOG_MOUSE	Nanog	A2AWL7	MGAP_MOUSE	Mga	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	T-box	Known motif	Monomer or homomultimer
193644	P20263	PO5F1_MOUSE	Pou5f1	A2AWL7	MGAP_MOUSE	Mga	2	2	1	0	3	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	T-box	Known motif	Monomer or homomultimer
553106	Q80Z64	NANOG_MOUSE	Nanog	A4QPD3	A4QPD3_MOUSE	Rel	1	2	1	0	2	Nanog;Ecat4;Enk	NODE	NA	Rel	Known motif	Monomer or homomultimer
374147	Q80Z64	NANOG_MOUSE	Nanog	B1AWL2	B1AWL2_MOUSE	Zfp462	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
193663	P20263	PO5F1_MOUSE	Pou5f1	B1AWL2	B1AWL2_MOUSE	Zfp462	1	1	1	0	2	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568477	Q61188	EZH2_MOUSE	Ezh2	B2RRF6	Z518A_MOUSE	Znf518a	1	1	1	0	1	Ezh2;Enx12	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568509	Q9Z148	EHMT2_MOUSE	Ehmt2	B2RRF6	Z518A_MOUSE	Znf518a	1	1	1	0	1	EHMT2;G9a	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
558186	B2RWS6	EP300_MOUSE	Ep300	B5B2N5	B5B2N5_MOUSE	Nfatc1	1	1	1	0	2	p300;Ep300	p300	NA	Rel	Known motif	Monomer or homomultimer
374164	Q80Z64	NANOG_MOUSE	Nanog	D3YTR4	D3YTR4_MOUSE	Mbd3	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	MBD	Likely to be sequence specific TF	Low specificity DNA-binding protein
558466	Q921E6	EED_MOUSE	Eed	D3YXK2	SAFB1_MOUSE	Safb	1	1	1	0	1	Eed	PRC2	NA	Unknown	Likely to be sequence specific TF	Low specificity DNA-binding protein
547655	O88907	PIAS1_MOUSE	Pias1	D3YYC3	D3YYC3_MOUSE	Setdb1	1	1	1	0	1	Pias1	NA	E3 SUMO ligase	MBD	Known motif	Low specificity DNA-binding protein
551783	P20263	PO5F1_MOUSE	Pou5f1	D3YYC3	D3YYC3_MOUSE	Setdb1	1	1	1	0	2	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	MBD	Known motif	Low specificity DNA-binding protein
548813	Q9JL10	SRTD1_MOUSE	Sertad1	D3Z4R4	D3Z4R4_MOUSE	Nkx6-2	1	1	1	0	1	Sertad1	NA	NA	Homeodomain	Known motif	Monomer or homomultimer
547699	Q91ZW3	SMCA5_MOUSE	Smarca5	E9Q374	E9Q374_MOUSE	Baz2a	2	2	1	0	2	Smarca5;Snf2h	CHRAC	CATALYTIC	MBD; AT hook	Likely to be sequence specific TF	Low specificity DNA-binding protein
564110	Q62315	JARD2_MOUSE	Jarid2	E9Q3T6	PRD14_MOUSE	Prdm14	1	1	1	0	1	Jarid2;Jmj	PRC2.2	NA	C2H2 ZF	Known motif	Monomer or homomultimer
380460	O70374	MTG8R_MOUSE	Cbfa2t2	E9Q3T6	PRD14_MOUSE	Prdm14	1	1	1	0	2	CBFA2T2	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
568515	Q9Z148	EHMT2_MOUSE	Ehmt2	E9Q624	E9Q624_MOUSE	Zfp644	1	1	1	0	1	EHMT2;G9a	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
549723	Q6DIC0	SMCA2_MOUSE	Smarca2	E9Q7E2	ARID2_MOUSE	Arid2	1	1	1	0	1	Smarca2;Baf190b;Snf2a;Snf2l2;Brm	BAF	CATALYTIC	ARID/BRIGHT; RFX	Likely to be sequence specific TF	Monomer or homomultimer
549738	Q3TKT4	SMCA4_MOUSE	Smarca4	E9Q7E2	ARID2_MOUSE	Arid2	1	1	1	0	1	Smarca4;Baf190a;Snf2l4;Snf2b;Brg1	BAF	CATALYTIC	ARID/BRIGHT; RFX	Likely to be sequence specific TF	Monomer or homomultimer
549690	P20263	PO5F1_MOUSE	Pou5f1	E9Q8X5	E9Q8X5_MOUSE	Zbtb10	1	1	1	0	1	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
374192	Q80Z64	NANOG_MOUSE	Nanog	E9Q9Y4	E9Q9Y4_MOUSE	Tet1	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	CxxC	Known motif	Monomer or homomultimer
374191	Q80Z64	NANOG_MOUSE	Nanog	E9QKA2	E9QKA2_MOUSE	Esrrb	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	Nuclear receptor	Known motif	Monomer or homomultimer
374132	Q80Z64	NANOG_MOUSE	Nanog	E9QLG3	E9QLG3_MOUSE	Mga	1	1	1	0	1	Nanog;Ecat4;Enk	NODE	NA	T-box	Known motif	Monomer or homomultimer
549692	P20263	PO5F1_MOUSE	Pou5f1	E9QMD3	E9QMD3_MOUSE	Zfhx3	1	1	1	0	1	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF; Homeodomain	Known motif	Monomer or homomultimer
549693	P20263	PO5F1_MOUSE	Pou5f1	F8VPV3	F8VPV3_MOUSE	Zic2	1	1	1	0	1	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
568478	Q61188	EZH2_MOUSE	Ezh2	J3QPN0	J3QPN0_MOUSE	Zfp518b	2	2	1	0	2	Ezh2;Enx12	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568541	P70351	EZH1_MOUSE	Ezh1	J3QPN0	J3QPN0_MOUSE	Zfp518b	1	1	1	0	1	Ezh1;Enx2	PRC2	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568540	Q5DW34	EHMT1_MOUSE	Ehmt1	J3QPN0	J3QPN0_MOUSE	Zfp518b	1	1	1	0	1	EHMT1;GLP	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
568512	Q9Z148	EHMT2_MOUSE	Ehmt2	J3QPN0	J3QPN0_MOUSE	Zfp518b	2	2	1	0	3	EHMT2;G9a	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
374154	Q80Z64	NANOG_MOUSE	Nanog	O08550	KMT2B_MOUSE	Kmt2b	2	2	1	0	2	Nanog;Ecat4;Enk	NODE	NA	CxxC; AT hook	Likely to be sequence specific TF	Monomer or homomultimer
550253	Q9JHD1	KAT2B_MOUSE	Kat2b	O08580	ERR1_MOUSE	Esrra	1	1	1	0	1	Kat2b;Pcaf	PCAF	NA	Nuclear receptor	Known motif	Monomer or homomultimer
556317	Q9QXE7	TBL1X_MOUSE	Tbl1x	O08686	BARX2_MOUSE	Barx2	1	1	1	0	1	Tbl1;Tbl1x	NCoR;SMRT	NA	Homeodomain	Known motif	Monomer or homomultimer
549750	Q61188	EZH2_MOUSE	Ezh2	O08785	CLOCK_MOUSE	Clock	1	1	1	0	2	Ezh2;Enx12	PRC2	NA	bHLH	Known motif	Monomer or homomultimer
551669	Q8CHK4	KAT5_MOUSE	Kat5	O08785	CLOCK_MOUSE	Clock	1	1	1	0	1	Kat5;Tip60	NuA4	NA	bHLH	Known motif	Monomer or homomultimer
551667	Q9JHD1	KAT2B_MOUSE	Kat2b	O08785	CLOCK_MOUSE	Clock	1	1	1	0	1	Kat2b;Pcaf	PCAF	NA	bHLH	Known motif	Monomer or homomultimer
372004	P55200	KMT2A_MOUSE	Kmt2a	O08785	CLOCK_MOUSE	Clock	2	2	1	0	3	Kmt2a;All1;Hrx;Mll;Mll1	MLL1	NA	bHLH	Known motif	Monomer or homomultimer
549848	O09106	HDAC1_MOUSE	Hdac1	O08789	MNT_MOUSE	Mnt	1	1	1	0	1	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	bHLH	Known motif	Monomer or homomultimer
549846	Q60520	SIN3A_MOUSE	Sin3a	O08789	MNT_MOUSE	Mnt	1	1	1	0	2	Sin3a;Kiaa4126	Sin3	NA	bHLH	Known motif	Monomer or homomultimer
549844	Q62141	SIN3B_MOUSE	Sin3b	O08789	MNT_MOUSE	Mnt	2	2	1	0	2	Kiaa0700	Sin3	NA	bHLH	Known motif	Monomer or homomultimer
547733	B1AR17	B1AR17_MOUSE	Chd3	O08900	IKZF3_MOUSE	Ikzf3	1	1	1	0	1	Mi-2α;Chd3	NuRD	NA	C2H2 ZF	Known motif	Monomer or homomultimer
548573	Q61909	MTG8_MOUSE	Runx1t1	O09105	NDF4_MOUSE	Neurod4	1	1	1	0	1	RUNX1T1	NA	NA	bHLH	Inferred motif	Monomer or homomultimer
548563	Q6PGF3	MED16_MOUSE	Med16	O35137	ALX4_MOUSE	Alx4	1	1	1	0	1	Med16;Trap95;Drip92;Thrap5	Mediator	CORE	Homeodomain	Known motif	Monomer or homomultimer
551757	O09106	HDAC1_MOUSE	Hdac1	O35185	BHE40_MOUSE	Bhlhe40	1	1	1	0	1	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	bHLH	Known motif	Monomer or homomultimer
549919	O09106	HDAC1_MOUSE	Hdac1	O35437	TCF21_MOUSE	Tcf21	2	2	1	0	2	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	bHLH	Known motif	Monomer or homomultimer
548513	Q8K4B0	MTA1_MOUSE	Mta1	O35615	FOG1_MOUSE	Zfpm1	1	1	1	0	1	Mta1	NuRD;NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370979	O88712	CTBP1_MOUSE	Ctbp1	O35615	FOG1_MOUSE	Zfpm1	3	3	1	0	4	Ctbp;Ctbp1	CoREST	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370987	Q6ZQ88	KDM1A_MOUSE	Kdm1a	O35615	FOG1_MOUSE	Zfpm1	3	3	1	0	4	Kdm1a;Aof2;Kiaa0601;Lsd1	CoREST	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370981	Q8VHR5	P66B_MOUSE	Gatad2b	O35615	FOG1_MOUSE	Zfpm1	1	1	1	0	1	p66β;Gatad2b;p66/p68	NuRD;NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370986	O09106	HDAC1_MOUSE	Hdac1	O35615	FOG1_MOUSE	Zfpm1	2	2	1	0	2	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370985	Q60973	RBBP7_MOUSE	Rbbp7	O35615	FOG1_MOUSE	Zfpm1	2	2	1	0	2	Rbbp7;Rbap46	NURF;PRC2	ACCESSORY	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370980	Q9R190	MTA2_MOUSE	Mta2	O35615	FOG1_MOUSE	Zfpm1	2	2	1	0	3	Mta2;Mta1l1	NuRD;NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
370982	P70288	HDAC2_MOUSE	Hdac2	O35615	FOG1_MOUSE	Zfpm1	2	2	1	0	2	Hdac2;Hd2;Yy1bp	Sin3;NuRD;CoREST	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
549977	P70365	NCOA1_MOUSE	Ncoa1	O35627	NR1I3_MOUSE	Nr1i3	1	1	1	0	1	Ncoa1;Nrc1;Src1	SRC	NA	Nuclear receptor	Known motif	Monomer or homomultimer
549978	Q9WU42	NCOR2_MOUSE	Ncor2	O35627	NR1I3_MOUSE	Nr1i3	1	1	1	0	1	Smrt;Ncor2;Trac;Smrte	SMRT	NA	Nuclear receptor	Known motif	Monomer or homomultimer
555221	Q8R4I1	ATX7_MOUSE	Atxn7	O54751	CRX_MOUSE	Crx	1	1	1	0	1	Ataxin-7;Atxn7	STAGA;TFTC	NA	Homeodomain	Known motif	Monomer or homomultimer
549331	O54941	SMCE1_MOUSE	Smarce1	O55144	TLX3_MOUSE	Tlx3	1	1	1	0	1	Smarce1;Baf57	BAF	ACCESSORY	Homeodomain	Known motif	Monomer or homomultimer
549334	Q9CXU1	MED31_MOUSE	Med31	O55144	TLX3_MOUSE	Tlx3	1	1	1	0	1	Med31;Soh1	Mediator	CORE	Homeodomain	Known motif	Monomer or homomultimer
193653	P20263	PO5F1_MOUSE	Pou5f1	O70230	ZN143_MOUSE	Znf143	4	3	2	0	6	Oct4;Pou5f1;Oct-3;Otf-3;Otf3;Oct-4	NODE	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368828	P70288	HDAC2_MOUSE	Hdac2	O70237	GFI1B_MOUSE	Gfi1b	1	1	1	0	3	Hdac2;Hd2;Yy1bp	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368831	Q8C796	RCOR2_MOUSE	Rcor2	O70237	GFI1B_MOUSE	Gfi1b	2	2	1	0	3	Rcor1;M-CoREST	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368832	Q8CFE3	RCOR1_MOUSE	Rcor1	O70237	GFI1B_MOUSE	Gfi1b	2	2	1	0	2	Rcor1;CoREST;D12Wsu95e;Kiaa0071	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368829	Q6ZQ88	KDM1A_MOUSE	Kdm1a	O70237	GFI1B_MOUSE	Gfi1b	3	3	1	0	5	Kdm1a;Aof2;Kiaa0601;Lsd1	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368830	O09106	HDAC1_MOUSE	Hdac1	O70237	GFI1B_MOUSE	Gfi1b	1	1	1	0	3	Hdac1;Hd1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
368827	Q6PGA0	RCOR3_MOUSE	Rcor3	O70237	GFI1B_MOUSE	Gfi1b	1	1	1	0	3	Rcor3	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
