InteractionID	UniprotID_A	UniprotName_A	GeneName_A	UniprotID_B	UniprotName_B	GeneName_B	ExpEvidences	Methods	Publications	X3DStructures	CurationEvents	COF_Synonyms_A	Complex_A	Core_or_Variant_A	DBD_B	TF_assessment_B	Binding_mode_B
728515	Q93009	UBP7_HUMAN	USP7	A1A519	F170A_HUMAN	FAM170A	2	1	2	0	3	UBP7	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
194151	P45973	CBX5_HUMAN	CBX5	A2VDJ6	A2VDJ6_HUMAN	ZNF568	1	1	1	0	1	CBX5	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
649470	O75478	TAD2A_HUMAN	TADA2A	A6NFD8	HELT_HUMAN	HELT	1	1	1	0	1	TADA2A;ADA2A	PCAF;ATAC	NA	bHLH	Inferred motif	Monomer or homomultimer
794172	O15164	TIF1A_HUMAN	TRIM24	A8K8V0	ZN785_HUMAN	ZNF785	1	1	1	0	2	TRIM24;TIF1A;RING82	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
714154	Q96KQ7	EHMT2_HUMAN	EHMT2	A8K8V0	ZN785_HUMAN	ZNF785	1	1	1	0	1	EHMT2;G9a	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
807609	P45973	CBX5_HUMAN	CBX5	A8K8V0	ZN785_HUMAN	ZNF785	1	1	1	0	2	CBX5	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
779340	Q6P2P2	ANM9_HUMAN	PRMT9	B2RXF5	ZBT42_HUMAN	ZBTB42	1	1	1	0	2	PRMT9;PRMT10	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
794100	Q92618	ZN516_HUMAN	ZNF516	B2RXF5	ZBT42_HUMAN	ZBTB42	1	1	1	0	2	ZNF516;KIAA0222	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
690428	Q9HC52	CBX8_HUMAN	CBX8	C9J5W8	C9J5W8_HUMAN	ZNF717	1	1	1	0	1	CBX8	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
910046	Q969G3	SMCE1_HUMAN	SMARCE1	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	SMARCE1;BAF57	BAF;PBAF	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
910312	Q15532	SSXT_HUMAN	SS18	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	SS18;SSXT;SYT	BAF	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
900690	Q4VC05	BCL7A_HUMAN	BCL7A	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	BCL7A	BAF	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
914322	Q96GM5	SMRD1_HUMAN	SMARCD1	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	SMARCD1;BAF60A	BAF	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
915174	Q8TAQ2	SMRC2_HUMAN	SMARCC2	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	SMARCC2;BAF170	BAF	CORE	C2H2 ZF	Known motif	Monomer or homomultimer
898016	Q8WUZ0	BCL7C_HUMAN	BCL7C	E9PDV3	E9PDV3_HUMAN	DPF1	1	1	1	0	1	BCL7C	BAF	ACCESSORY	C2H2 ZF	Known motif	Monomer or homomultimer
765293	Q9H8M2	BRD9_HUMAN	BRD9	J9JIF5	J9JIF5_HUMAN	CXXC4	1	1	1	0	1	UNQ3040/PRO9856;BRD9	BAF;ncBAF	ACCESSORY	CxxC	Likely to be sequence specific TF	Monomer or homomultimer
645899	Q9Y4C1	KDM3A_HUMAN	KDM3A	O00321	ETV2_HUMAN	ETV2	2	2	1	0	3	KDM3A;JHDM2A;JMJD1;JMJD1A;KIAA0742;TSGA	NA	NA	Ets	Known motif	Monomer or homomultimer
229354	Q92793	CBP_HUMAN	CREBBP	O00327	BMAL1_HUMAN	ARNTL	2	2	2	0	3	CBP;CREBBP	CBP	NA	bHLH	Known motif	Monomer or homomultimer
290873	P0C1Z6	TFPT_HUMAN	TFPT	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	TFPT;INO80F	INO80	ACCESSORY	bHLH	Known motif	Monomer or homomultimer
631697	Q92831	KAT2B_HUMAN	KAT2B	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	KAT2B;PCAF	PCAF	NA	bHLH	Known motif	Monomer or homomultimer
290310	Q9UKL0	RCOR1_HUMAN	RCOR1	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	CoREST1;KIAA0071;RCOR1	CoREST	NA	bHLH	Known motif	Monomer or homomultimer
290771	O95619	YETS4_HUMAN	YEATS4	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	YEATS4;GAS41;NuBI1	NuA4	NA	bHLH	Known motif	Monomer or homomultimer
722032	P61964	WDR5_HUMAN	WDR5	O00327	BMAL1_HUMAN	ARNTL	2	2	1	0	2	WDR5;BIG3	MLL;WRAD	CORE	bHLH	Known motif	Monomer or homomultimer
290291	O60341	KDM1A_HUMAN	KDM1A	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	LSD1;KIAA0601;AOF2;KDM1;KDM1A	CoREST	CORE	bHLH	Known motif	Monomer or homomultimer
631695	Q09472	EP300_HUMAN	EP300	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	p300;EP300	p300	NA	bHLH	Known motif	Monomer or homomultimer
290308	Q9NP66	HM20A_HUMAN	HMG20A	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	HMG20A;HMGXB1;HMGX1	CoREST	NA	bHLH	Known motif	Monomer or homomultimer
290303	Q96BD5	PF21A_HUMAN	PHF21A	O00327	BMAL1_HUMAN	ARNTL	1	1	1	0	1	BHC80;KIAA1696;PHF21A	CoREST	CORE	bHLH	Known motif	Monomer or homomultimer
766216	P51532	SMCA4_HUMAN	SMARCA4	O00358	FOXE1_HUMAN	FOXE1	1	1	1	0	1	SMARCA4;BAF190A;SNF2L4;SNF2B;BRG1	BAF	CATALYTIC	Forkhead	Known motif	Monomer or homomultimer
232970	Q9UFC0	LRWD1_HUMAN	LRWD1	O00358	FOXE1_HUMAN	FOXE1	2	2	1	0	2	LRWD1	NA	NA	Forkhead	Known motif	Monomer or homomultimer
233008	Q14839	CHD4_HUMAN	CHD4	O00358	FOXE1_HUMAN	FOXE1	2	2	1	0	2	Mi-2β;CHD4	NuRD	NA	Forkhead	Known motif	Monomer or homomultimer
232994	P28370	SMCA1_HUMAN	SMARCA1	O00358	FOXE1_HUMAN	FOXE1	2	2	1	0	2	SMARCA1;SNF2L;SNF2L1	CERF;NURF	CATALYTIC	Forkhead	Known motif	Monomer or homomultimer
232960	O60264	SMCA5_HUMAN	SMARCA5	O00358	FOXE1_HUMAN	FOXE1	2	2	1	0	2	SMARCA5;SNF2H;WCRF135	CHRAC;ACF;NORC;RSF;WICH	CATALYTIC	Forkhead	Known motif	Monomer or homomultimer
232981	Q9NRL2	BAZ1A_HUMAN	BAZ1A	O00358	FOXE1_HUMAN	FOXE1	2	2	1	0	2	ACF1;BAZ1A;WCRF180	CHRAC;ACF	ACCESSORY	Forkhead	Known motif	Monomer or homomultimer
645617	O00255	MEN1_HUMAN	MEN1	O00409	FOXN3_HUMAN	FOXN3	2	2	1	0	4	SCG2	MLL1	VARIANT	Forkhead	Known motif	Monomer or homomultimer
199028	Q92793	CBP_HUMAN	CREBBP	O00470	MEIS1_HUMAN	MEIS1	2	2	1	0	2	CBP;CREBBP	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
657079	Q13227	GPS2_HUMAN	GPS2	O00482	NR5A2_HUMAN	NR5A2	1	1	1	0	1	GPS2	NCoR;SMRT	NA	Nuclear receptor	Known motif	Monomer or homomultimer
708591	Q96L73	NSD1_HUMAN	NSD1	O00482	NR5A2_HUMAN	NR5A2	1	1	1	0	1	NSD1	NA	NA	Nuclear receptor	Known motif	Monomer or homomultimer
216826	Q15596	NCOA2_HUMAN	NCOA2	O00482	NR5A2_HUMAN	NR5A2	2	2	1	2	3	NCOA2;GRIP1;TIF2	SRC	NA	Nuclear receptor	Known motif	Monomer or homomultimer
889577	Q6STE5	SMRD3_HUMAN	SMARCD3	O00482	NR5A2_HUMAN	NR5A2	0	1	1	0	1	SMARCD3;BAF60C	BAF	ACCESSORY	Nuclear receptor	Known motif	Monomer or homomultimer
216827	Q15788	NCOA1_HUMAN	NCOA1	O00482	NR5A2_HUMAN	NR5A2	3	2	3	0	4	NCOA1;RIP160;Hin2;SRC1;NYREN52	SRC	NA	Nuclear receptor	Known motif	Monomer or homomultimer
639875	Q9Y6Q9	NCOA3_HUMAN	NCOA3	O00482	NR5A2_HUMAN	NR5A2	1	1	1	0	1	NCOA3;pCIP;SRC3;TRAM1;RAC3;ACTR;AIB1	SRC	NA	Nuclear receptor	Known motif	Monomer or homomultimer
216824	Q9Y618	NCOR2_HUMAN	NCOR2	O00482	NR5A2_HUMAN	NR5A2	1	1	1	0	2	SMRT;CTG26;SMAP270;TRAC;NCoR2	SMRT	NA	Nuclear receptor	Known motif	Monomer or homomultimer
718637	O75530	EED_HUMAN	EED	O00712	NFIB_HUMAN	NFIB	1	1	1	0	1	EED	PRC2	CORE	SMAD	Known motif	Monomer or homomultimer
688911	Q13547	HDAC1_HUMAN	HDAC1	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	E2F	Known motif	Monomer or homomultimer
635703	Q8N488	RYBP_HUMAN	RYBP	O00716	E2F3_HUMAN	E2F3	2	3	1	0	3	Rybp;DEDAF;YEAF1	PRC1	VARIANT	E2F	Known motif	Monomer or homomultimer
176032	Q15906	VPS72_HUMAN	VPS72	O00716	E2F3_HUMAN	E2F3	1	1	1	0	2	VPS72;YL1	SRCAP	NA	E2F	Known motif	Monomer or homomultimer
176028	Q9H0E9	BRD8_HUMAN	BRD8	O00716	E2F3_HUMAN	E2F3	1	1	1	0	2	BRD8;p120	NuA4	NA	E2F	Known motif	Monomer or homomultimer
214359	P28370	SMCA1_HUMAN	SMARCA1	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	SMARCA1;SNF2L;SNF2L1	CERF;NURF	CATALYTIC	E2F	Known motif	Monomer or homomultimer
214320	Q9UHJ3	SMBT1_HUMAN	SFMBT1	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	SFMBT1;RU1	CoREST;SLC	NA	E2F	Known motif	Monomer or homomultimer
648654	P51610	HCFC1_HUMAN	HCFC1	O00716	E2F3_HUMAN	E2F3	2	2	1	0	2	HFC1	SET1	CORE	E2F	Known motif	Monomer or homomultimer
632535	Q92793	CBP_HUMAN	CREBBP	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	CBP;CREBBP	CBP	NA	E2F	Known motif	Monomer or homomultimer
769319	Q9Y5K5	UCHL5_HUMAN	UCHL5	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	UCHL5;UCH37	INO80	ACCESSORY	E2F	Known motif	Monomer or homomultimer
214271	Q92830	KAT2A_HUMAN	KAT2A	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	KAT2A;GCN5	GCN5	NA	E2F	Known motif	Monomer or homomultimer
214335	Q9Y4A5	TRRAP_HUMAN	TRRAP	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	TRRAP;PAF400;PAF350;STAF40	STAGA;TFTC;PCAF	NA	E2F	Known motif	Monomer or homomultimer
768862	Q9UJW3	DNM3L_HUMAN	DNMT3L	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	DNMT3L	NA	NA	E2F	Known motif	Monomer or homomultimer
214302	O60341	KDM1A_HUMAN	KDM1A	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	LSD1;KIAA0601;AOF2;KDM1;KDM1A	CoREST	CORE	E2F	Known motif	Monomer or homomultimer
214297	P52701	MSH6_HUMAN	MSH6	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	MSH6	NA	NA	E2F	Known motif	Monomer or homomultimer
881971	P25490	TYY1_HUMAN	YY1	O00716	E2F3_HUMAN	E2F3	0	1	1	0	1	YY1;INO80S	INO80	ACCESSORY	E2F	Known motif	Monomer or homomultimer
645613	O14686	KMT2D_HUMAN	KMT2D	O00716	E2F3_HUMAN	E2F3	1	1	1	0	1	KMT2D;MLL2;ALR;MLL4	MLL2	VARIANT	E2F	Known motif	Monomer or homomultimer
217698	Q13547	HDAC1_HUMAN	HDAC1	O14503	BHE40_HUMAN	BHLHE40	2	2	2	0	4	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	bHLH	Known motif	Monomer or homomultimer
222583	Q15910	EZH2_HUMAN	EZH2	O14503	BHE40_HUMAN	BHLHE40	1	1	1	0	1	EZH2;KMT6	PRC2	CORE	bHLH	Known motif	Monomer or homomultimer
360652	Q12873	CHD3_HUMAN	CHD3	O14503	BHE40_HUMAN	BHLHE40	1	2	1	0	3	CHD3;Mi-2α	NuRD	NA	bHLH	Known motif	Monomer or homomultimer
690752	Q96ST3	SIN3A_HUMAN	SIN3A	O14503	BHE40_HUMAN	BHLHE40	1	1	1	0	1	Sin3A	Sin3	CORE	bHLH	Known motif	Monomer or homomultimer
280109	Q12888	TP53B_HUMAN	TP53BP1	O14503	BHE40_HUMAN	BHLHE40	1	1	1	0	1	TP53BP1	NA	NA	bHLH	Known motif	Monomer or homomultimer
816787	Q12824	SNF5_HUMAN	SMARCB1	O14503	BHE40_HUMAN	BHLHE40	1	1	1	0	1	SMARCB1;BAF47;INI1;SNF5L1	BAF	CORE	bHLH	Known motif	Monomer or homomultimer
360922	Q9NPI1	BRD7_HUMAN	BRD7	O14503	BHE40_HUMAN	BHLHE40	1	2	1	0	3	BRD7;BP75;CELTIX1	PBAF	ACCESSORY	bHLH	Known motif	Monomer or homomultimer
785530	Q9Y468	LMBL1_HUMAN	L3MBTL1	O14628	ZN195_HUMAN	ZNF195	1	1	1	0	2	L3MBTL1	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
194135	P45973	CBX5_HUMAN	CBX5	O14628	ZN195_HUMAN	ZNF195	2	2	1	0	2	CBX5	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
648631	Q13547	HDAC1_HUMAN	HDAC1	O14753	OVOL1_HUMAN	OVOL1	2	2	1	0	3	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
648632	Q92769	HDAC2_HUMAN	HDAC2	O14753	OVOL1_HUMAN	OVOL1	1	1	1	0	2	HDAC2	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
648633	O15379	HDAC3_HUMAN	HDAC3	O14753	OVOL1_HUMAN	OVOL1	1	1	1	0	2	HDAC3;SMAP45;RPD3-2	NCoR;SMRT	NA	C2H2 ZF	Known motif	Monomer or homomultimer
810689	P60709	ACTB_HUMAN	ACTB	O14770	MEIS2_HUMAN	MEIS2	1	1	1	0	2	B-actin;ACTB	BAF	ACCESSORY	Homeodomain	Known motif	Monomer or homomultimer
633597	Q92793	CBP_HUMAN	CREBBP	O14813	PHX2A_HUMAN	PHOX2A	1	2	1	0	2	CBP;CREBBP	CBP	NA	Homeodomain	Known motif	Monomer or homomultimer
633261	Q96ST3	SIN3A_HUMAN	SIN3A	O14901	KLF11_HUMAN	KLF11	4	3	4	0	5	Sin3A	Sin3	CORE	C2H2 ZF	Known motif	Monomer or homomultimer
633262	Q13547	HDAC1_HUMAN	HDAC1	O14901	KLF11_HUMAN	KLF11	1	2	1	0	2	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
657878	Q09472	EP300_HUMAN	EP300	O14901	KLF11_HUMAN	KLF11	1	1	1	0	1	p300;EP300	p300	NA	C2H2 ZF	Known motif	Monomer or homomultimer
657876	Q13185	CBX3_HUMAN	CBX3	O14901	KLF11_HUMAN	KLF11	1	1	1	0	1	CBX3	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
657877	P45973	CBX5_HUMAN	CBX5	O14901	KLF11_HUMAN	KLF11	2	2	1	0	2	CBX5	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
657875	P83916	CBX1_HUMAN	CBX1	O14901	KLF11_HUMAN	KLF11	1	1	1	0	1	CBX1	NA	NA	C2H2 ZF	Known motif	Monomer or homomultimer
787935	Q9UBW7	ZMYM2_HUMAN	ZMYM2	O14978	ZN263_HUMAN	ZNF263	1	1	1	0	2	ZNF198;RAMP;FIN;ZMYM2	CoREST	NA	C2H2 ZF	Known motif	Monomer or homomultimer
222696	Q13547	HDAC1_HUMAN	HDAC1	O15014	ZN609_HUMAN	ZNF609	4	2	2	0	4	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
267997	Q93009	UBP7_HUMAN	USP7	O15014	ZN609_HUMAN	ZNF609	2	2	1	0	2	UBP7	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
770214	Q9H9S0	NANOG_HUMAN	NANOG	O15014	ZN609_HUMAN	ZNF609	1	1	1	0	1	Nanog;hNanog	NODE	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
279945	Q12888	TP53B_HUMAN	TP53BP1	O15014	ZN609_HUMAN	ZNF609	1	1	1	0	1	TP53BP1	NA	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
350527	Q7Z589	EMSY_HUMAN	EMSY	O15015	ZN646_HUMAN	ZNF646	1	4	1	0	4	EMSY;C11orf30	Sin3	ACCESSORY	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
645399	Q9NQC1	JADE2_HUMAN	JADE2	O15062	ZBTB5_HUMAN	ZBTB5	1	1	1	0	1	JADE2;PHF15	HBO1	NA	C2H2 ZF	Likely to be sequence specific TF	Monomer or homomultimer
647668	Q13547	HDAC1_HUMAN	HDAC1	O15119	TBX3_HUMAN	TBX3	1	1	1	0	1	HDAC1;RPD3L1	Sin3;NuRD;CoREST	NA	T-box	Known motif	Monomer or homomultimer
647670	O15379	HDAC3_HUMAN	HDAC3	O15119	TBX3_HUMAN	TBX3	1	1	1	0	1	HDAC3;SMAP45;RPD3-2	NCoR;SMRT	NA	T-box	Known motif	Monomer or homomultimer
647669	Q92769	HDAC2_HUMAN	HDAC2	O15119	TBX3_HUMAN	TBX3	1	1	1	0	1	HDAC2	Sin3;NuRD;CoREST	NA	T-box	Known motif	Monomer or homomultimer
263910	P49336	CDK8_HUMAN	CDK8	O15119	TBX3_HUMAN	TBX3	2	2	1	0	2	CDK8	Mediator 	CORE	T-box	Known motif	Monomer or homomultimer
650117	Q09472	EP300_HUMAN	EP300	O15156	ZBT7B_HUMAN	ZBTB7B	2	2	1	0	3	p300;EP300	p300	NA	C2H2 ZF	Known motif	Monomer or homomultimer
708181	Q92993	KAT5_HUMAN	KAT5	O15156	ZBT7B_HUMAN	ZBTB7B	1	1	1	0	2	KAT5;TIP60	NuA4	NA	C2H2 ZF	Known motif	Monomer or homomultimer
353354	Q15014	MO4L2_HUMAN	MORF4L2	O15156	ZBT7B_HUMAN	ZBTB7B	1	4	1	0	4	MORF4L2;MSL3-2;MRGX	NuA4	NA	C2H2 ZF	Known motif	Monomer or homomultimer
688943	O15379	HDAC3_HUMAN	HDAC3	O15156	ZBT7B_HUMAN	ZBTB7B	1	1	1	0	1	HDAC3;SMAP45;RPD3-2	NCoR;SMRT	NA	C2H2 ZF	Known motif	Monomer or homomultimer
